trial_id,block_id,trial_in_block,condition,trial_type,stimulus_color,response_required,isi_sec,led_duration_sec,voltage_on,notes
89,4,39,simple_reaction,main,white,go,3.273,0.15,5.0,
90,4,40,simple_reaction,main,white,go,3.141,0.15,5.0,
91,4,41,simple_reaction,main,white,go,3.329,0.15,5.0,
92,4,42,simple_reaction,main,white,go,4.882,0.15,5.0,
93,4,43,simple_reaction,main,white,go,5.376,0.15,5.0,
94,4,44,simple_reaction,main,white,go,4.266,0.15,5.0,
95,4,45,simple_reaction,main,white,go,3.191,0.15,5.0,
96,4,46,simple_reaction,main,white,go,4.145,0.15,5.0,
97,4,47,simple_reaction,main,white,go,5.988,0.15,5.0,
98,4,48,simple_reaction,main,white,go,4.587,0.15,5.0,
99,4,49,simple_reaction,main,white,go,5.913,0.15,5.0,
100,4,50,simple_reaction,main,white,go,5.582,0.15,5.0,
101,5,1,go_nogo,practice,green,go,5.861,0.15,5.0,practice: go_nogo
102,5,2,go_nogo,practice,green,go,5.628,0.15,5.0,
103,5,3,go_nogo,practice,green,go,3.79,0.15,5.0,
104,5,4,go_nogo,practice,red,nogo,4.502,0.15,5.0,
105,5,5,go_nogo,practice,green,go,3.536,0.15,5.0,
106,5,6,go_nogo,practice,green,go,5.738,0.15,5.0,
107,5,7,go_nogo,practice,red,nogo,5.612,0.15,5.0,
108,5,8,go_nogo,practice,green,go,3.895,0.15,5.0,
109,5,9,go_nogo,practice,green,go,4.917,0.15,5.0,
110,5,10,go_nogo,practice,green,go,4.827,0.15,5.0,
111,5,11,go_nogo,practice,red,nogo,3.459,0.15,5.0,
112,5,12,go_nogo,practice,green,go,5.288,0.15,5.0,
113,5,13,go_nogo,practice,red,nogo,4.618,0.15,5.0,
114,5,14,go_nogo,practice,red,nogo,5.336,0.15,5.0,
115,5,15,go_nogo,practice,green,go,4.591,0.15,5.0,
116,6,1,go_nogo,main,green,go,4.977,0.15,5.0,main: go_nogo
117,6,2,go_nogo,main,green,go,4.063,0.15,5.0,
118,6,3,go_nogo,main,green,go,4.233,0.15,5.0,
119,6,4,go_nogo,main,red,nogo,5.592,0.15,5.0,
120,6,5,go_nogo,main,green,go,3.163,0.15,5.0,
121,6,6,go_nogo,main,green,go,4.96,0.15,5.0,
122,6,7,go_nogo,main,green,go,4.939,0.15,5.0,
123,6,8,go_nogo,main,green,go,3.182,0.15,5.0,
124,6,9,go_nogo,main,green,go,5.185,0.15,5.0,
125,6,10,go_nogo,main,green,go,5.402,0.15,5.0,
126,6,11,go_nogo,main,green,go,3.328,0.15,5.0,
127,6,12,go_nogo,main,green,go,3.575,0.15,5.0,
128,6,13,go_nogo,main,green,go,4.609,0.15,5.0,
129,6,14,go_nogo,main,red,nogo,3.421,0.15,5.0,
130,6,15,go_nogo,main,green,go,3.55,0.15,5.0,
131,6,16,go_nogo,main,green,go,4.388,0.15,5.0,
132,6,17,go_nogo,main,red,nogo,5.623,0.15,5.0,
133,6,18,go_nogo,main,green,go,3.226,0.15,5.0,
134,6,19,go_nogo,main,red,nogo,5.424,0.15,5.0,
135,6,20,go_nogo,main,green,go,5.568,0.15,5.0,
136,6,21,go_nogo,main,red,nogo,3.294,0.15,5.0,
137,6,22,go_nogo,main,green,go,4.956,0.15,5.0,
138,6,23,go_nogo,main,green,go,4.622,0.15,5.0,
139,6,24,go_nogo,main,green,go,3.044,0.15,5.0,
140,6,25,go_nogo,main,green,go,3.28,0.15,5.0,
141,6,26,go_nogo,main,green,go,5.261,0.15,5.0,
142,6,27,go_nogo,main,green,go,3.709,0.15,5.0,
143,6,28,go_nogo,main,red,nogo,4.219,0.15,5.0,
144,6,29,go_nogo,main,red,nogo,4.444,0.15,5.0,
145,6,30,go_nogo,main,green,go,5.594,0.15,5.0,
146,6,31,go_nogo,main,green,go,5.707,0.15,5.0,
147,6,32,go_nogo,main,red,nogo,3.494,0.15,5.0,
148,6,33,go_nogo,main,green,go,3.006,0.15,5.0,
149,6,34,go_nogo,main,green,go,4.171,0.15,5.0,
150,6,35,go_nogo,main,green,go,5.78,0.15,5.0,
151,6,36,go_nogo,main,red,nogo,5.355,0.15,5.0,
152,6,37,go_nogo,main,green,go,3.856,0.15,5.0,
153,6,38,go_nogo,main,red,nogo,5.09,0.15,5.0,
154,6,39,go_nogo,main,green,go,5.192,0.15,5.0,
155,6,40,go_nogo,main,red,nogo,5.35,0.15,5.0,
156,6,41,go_nogo,main,green,go,4.986,0.15,5.0,
157,6,42,go_nogo,main,green,go,4.46,0.15,5.0,
158,6,43,go_nogo,main,red,nogo,3.57,0.15,5.0,
159,6,44,go_nogo,main,red,nogo,3.653,0.15,5.0,
160,6,45,go_nogo,main,green,go,3.175,0.15,5.0,
161,6,46,go_nogo,main,green,go,5.207,0.15,5.0,
162,6,47,go_nogo,main,green,go,3.183,0.15,5.0,
163,6,48,go_nogo,main,green,go,3.941,0.15,5.0,
164,6,49,go_nogo,main,green,go,3.15,0.15,5.0,
165,6,50,go_nogo,main,red,nogo,4.43,0.15,5.0,
166,6,51,go_nogo,main,green,go,5.758,0.15,5.0,
167,6,52,go_nogo,main,green,go,4.593,0.15,5.0,
168,6,53,go_nogo,main,green,go,3.171,0.15,5.0,
169,6,54,go_nogo,main,green,go,4.523,0.15,5.0,
170,6,55,go_nogo,main,green,go,5.554,0.15,5.0,
171,6,56,go_nogo,main,green,go,3.206,0.15,5.0,
172,6,57,go_nogo,main,green,go,3.204,0.15,5.0,
173,6,58,go_nogo,main,red,nogo,5.585,0.15,5.0,
174,6,59,go_nogo,main,red,nogo,4.211,0.15,5.0,
175,6,60,go_nogo,main,green,go,5.825,0.15,5.0,
176,6,61,go_nogo,main,red,nogo,4.709,0.15,5.0,
177,6,62,go_nogo,main,red,nogo,4.737,0.15,5.0,
178,6,63,go_nogo,main,green,go,3.119,0.15,5.0,
179,6,64,go_nogo,main,red,nogo,3.246,0.15,5.0,
180,6,65,go_nogo,main,green,go,4.972,0.15,5.0,
181,6,66,go_nogo,main,green,go,4.696,0.15,5.0,
182,6,67,go_nogo,main,red,nogo,3.949,0.15,5.0,
183,6,68,go_nogo,main,red,nogo,3.782,0.15,5.0,
184,6,69,go_nogo,main,green,go,5.009,0.15,5.0,
185,6,70,go_nogo,main,red,nogo,3.943,0.15,5.0,
186,6,71,go_nogo,main,green,go,3.797,0.15,5.0,
187,6,72,go_nogo,main,green,go,3.393,0.15,5.0,
188,6,73,go_nogo,main,green,go,4.937,0.15,5.0,
189,6,74,go_nogo,main,green,go,4.372,0.15,5.0,
190,6,75,go_nogo,main,green,go,5.787,0.15,5.0,
191,6,76,go_nogo,main,green,go,5.807,0.15,5.0,
192,6,77,go_nogo,main,red,nogo,3.028,0.15,5.0,
193,6,78,go_nogo,main,green,go,4.863,0.15,5.0,
194,6,79,go_nogo,main,red,nogo,4.689,0.15,5.0,
195,6,80,go_nogo,main,green,go,3.3,0.15,5.0,
